id,lat,lon,name
H_150190310,50.0931,19.8067,Balice (Rudawa)
H_149210040,49.9878,21.3097,Labuzie (Wisloka)
H_152150020,52.0364,15.0786,Stary Raduszec (Bobr)
H_152230200,52.3175,23.0489,Zabuze (Bug)
H_152200010,52.1358,20.1314,Keszyce (Rawka)
H_151190120,51.3139,19.9717,Dabrowa (Czarna)
H_150150090,50.8764,15.8031,Lomnica (Lomnica)
H_153220170,53.4831,22.6386,Osowiec (Biebrza)
H_154150040,54.0917,15.7139,Bardy (Parseta)
H_150210210,50.6736,21.9308,Radomysl (San)
H_150170120,50.6456,17.6244,Niemodlin (Scinawa Niemodlinska)
H_152210150,52.5281,21.1756,Popowo (Zb. Debe)
H_149190060,49.9725,19.1219,Jawiszowice (Wisla)
H_150220070,50.2469,22.5019,Rzuchow (San)
H_152190100,52.0736,19.65,Bielawy (Mroga)
H_151150080,51.6181,15.3158,Zagan (Bobr)
H_149200090,49.8836,20.0861,Dobczyce (Raba)
H_152150040,52.73,15.2531,Gorzow Wielkopolski (Warta)
H_150210190,50.8058,21.8631,Zawichost (Wisla)
H_149200140,49.4006,20.3539,Sromowce Wyzne (Dunajec)
H_150210080,50.9789,21.2419,Nietulisko Duze (Kamienna)
H_149210110,49.6939,21.7747,Krosno (Wislok)
H_149180230,49.8956,18.9775,Podkepie (Wapienica)
H_153220230,53.2417,22.7647,Kulesze Chobotki (Neresl)
H_153180080,53.3631,18.415,Chelmno (Wisla)
H_150190170,50.0633,19.2364,Pustynia (Wisla)
H_151170050,51.1058,17.4067,Zbytowa (Widawa)
H_152230110,52.9403,23.7489,Bondary - Siemianowka (Zb Siemianowka)
H_150140030,50.9389,14.9178,Turoszow (Miedzianka)
H_150210180,50.8992,21.8322,Annopol (Wisla)
H_149200110,49.4178,20.1175,Trybsz 2 (Bialka)
H_153210190,53.6244,21.8064,Pisz (Pisa)
H_150200020,50.8025,20.3117,Bocheniec (Wierna Rzeka)
H_149200170,49.9964,20.4383,Proszowki (Raba)
H_149200310,49.6239,20.9458,Grybow (Biala)
H_149210140,49.6772,21.8644,Iskrzynia (Morwawa)
H_153160210,53.3667,16.7964,Ptusza (Gwda)
H_154210100,54.3264,21.98,Mieduniszki (Wegorapa)
H_150160040,50.4308,16.2439,Kudowa Zdroj-Zakrze (Klikawa)
H_153200090,53.8356,20.5736,Szypry (Jez. Wadag)
H_153180100,53.485,18.7453,Grudziadz (Wisla)
H_151190090,51.0894,19.875,Przedborz (Pilica)
H_149180220,49.9792,18.9458,Pszczyna (Pszczynka)
H_154210070,54.2267,21.7308,Wegorzewo (Wegorapa)
H_152170080,52.1678,17.6953,Pyzdry (Warta)
H_153170140,53.1881,17.9631,Smukala (Brda)
H_152160070,52.9083,16.5542,Czarnkow (Notec)
H_153220190,53.7328,22.6997,Rajgrod 2 (Jez.Rajgrodzkie)
H_150210200,50.5758,21.9119,Grebow (Leg)
H_152180120,52.1953,18.6344,Kolo (Warta)
H_153170010,53.0736,17.1247,Bialosliwie (Notec)
H_153220140,53.555,22.5864,Przechody (Elk (Kanal.Rudzki))
H_149200260,49.6353,20.7047,Nowy Sacz 1 (Lubinka)
H_153160170,53.0547,16.7303,Ujscie (Notec)
H_152210090,52.5883,21.4528,Wyszkow (Bug)
H_149190100,49.6864,19.1933,Zywiec (Sola)
H_149190050,49.5139,19.1164,Rajcza (Sola)
H_152150140,52.7756,15.6383,Goscimiec (Notec)
H_153220070,53.2011,22.4086,Wizna (Narew)
H_152190120,52.4314,19.9633,Kepa Polska (Wisla)
H_152230070,52.1036,23.4675,Malowa Gora (Krzna)
H_152140070,52.5819,14.6622,Kostrzyn n. Odra (Warta)
H_153220260,53.6097,22.9303,Debowo (Biebrza)
H_154160070,54.4422,16.6064,Stary Krakow (Wieprza)
H_149190350,49.7367,19.9539,Krzczonow (Krzczonowka)
H_150220080,50.1622,22.5472,Tryncza (Wislok)
H_151220090,51.4981,22.6436,Lubartow (Wieprz)
H_152180030,52.8,18.0931,Pakosc (Notec)
H_149200160,49.4417,20.4294,Kroscienko (Dunajec)
H_154210080,54.2442,21.72,Prynowo (Wegorapa)
H_150190100,50.2358,19.1608,Niwka (Biala Przemsza)
H_150170040,50.9464,17.3064,Olawa (Odra)
H_152200020,52.9306,20.1719,Trzciniec (Wkra)
H_151160060,51.6739,16.0592,Glogow (Odra)
H_149180250,49.9136,18.9864,Czechowice Dziedzice (Ilownica)
H_152170010,52.0931,17.0161,Srem (Warta)
H_149190120,49.8483,19.2278,Czaniec (Kobiernice) (Sola)
H_153180110,53.8583,18.7603,Brody Pomorskie (Wierzyca)
H_150160270,50.5322,16.865,Kamieniec Zabkowicki (Budzowka)
H_152210040,52.1928,21.1039,Warszawa - Nadwilanowka (Wisla)
H_150200090,50.8328,20.5361,Slowik (Bobrza)
H_150200170,50.1319,20.8619,Zabno (Dunajec)
H_149220060,49.4692,22.3222,Lesko (San)
H_154220010,54.2478,22.0297,Banie Mazurskie (Goldapa)
H_149200330,49.7922,20.9736,Ciezkowice (Biala)
H_152140060,52.5992,14.6106,Kostrzyn n. Odra (Odra)
H_153230020,53.5853,23.0433,Karpowicze (Brzozowka)
H_153180020,53.1464,18.17,Fordon (Wisla)
H_152170060,52.1417,17.59,Nowa Wies Podgorna (Warta)
H_150200080,50.5142,20.5203,Pinczow (Nida)
H_151180080,51.5994,18.7425,Sieradz (Warta)
H_151170060,51.5161,17.5642,Bogdaj (Polska Woda)
H_152160100,52.6436,16.8136,Oborniki (Warta)
H_154150010,54.0633,15.2608,Trzebiatow (Rega)
H_151160150,51.2261,16.4928,Malczyce (Odra)
H_149210130,49.8778,21.8175,Zarnowa (Wislok)
H_150210120,50.2792,21.4303,Mielec 2 (Wisloka)
H_153180090,53.0078,18.6075,Torun (Wisla)
H_151220010,51.5731,22.0014,Kosmin (Wieprz)
H_151160230,51.0375,16.985,Sleza (Sleza)
H_150170180,50.3153,17.7889,Raclawice Slaskie (Osobloga)
H_150220160,50.3989,22.955,Osuchy (Tanew)
H_154190170,54.1947,19.9508,Lozy (Pasleka)
H_149180210,49.9253,18.9353,Zabrzeg (Wisla)
H_149220180,49.1856,22.6836,Stuposiany (Wolosaty)
H_149200100,49.2636,20.115,Lysa Polana (Bialka)
H_153200040,53.7361,20.2067,Tomaryny (Pasleka)
H_150230070,50.7775,23.8072,Gozdow (Huczwa)
H_149220190,49.7847,22.7672,Przemysl (San)
H_152200090,52.2397,20.4517,Krubice (Utrata)
H_154180060,54.2636,18.1647,Goreczyno (Radunia)
H_153220130,53.2197,22.5386,Strekowa Gora (Narew)
H_151210120,51.5628,21.8264,Deblin (Wisla)
H_152210060,52.7561,21.2061,Zambski Koscielne (Narew)
H_149210010,49.5858,21.0464,Ropa (Ropa)
H_152210030,52.8608,21.1069,Makow Mazowiecki (Orzyc)
H_154210020,54.2336,21.0867,Prosna (Guber)
H_153220100,53.2742,22.4592,Burzyn (Biebrza)
H_150200150,50.275,20.7747,Karsy (Wisla)
H_153190120,53.5222,19.6597,Rodzone (Drweca)
H_151160220,51.4536,16.9561,Kanclerzowice (Sasiecznica)
H_151210080,51.2733,21.4667,Kazanow (Ilzanka)
H_150200100,50.1414,20.5494,Popedzynka (Wisla)
H_153160020,53.9006,16.0653,Tychowko (Parseta)
H_152180110,52.1753,18.5753,Koscielec (Kielbaska)
H_152160140,52.4022,16.9453,Poznan Most Rocha (Warta)
H_150200010,50.7275,20.285,Mniszek (Biala Nida)
H_151140050,51.0431,14.98,Reczyn (Witka)
H_151190100,51.3436,19.8861,Sulejow (Pilica)
H_150190360,50.0356,19.3822,Gromiec (Wisla)
H_152180060,52.2031,18.2225,Posoka (Powa)
H_149190270,49.94,19.8089,Radziszow (Skawinka)
H_150210160,50.5958,21.5731,Koprzywnica (Koprzywianka)
H_152160050,52.7117,16.38,Wronki (Warta)
H_152150050,52.0464,15.3475,Nietkow (Odra)
H_150210060,50.5564,21.1731,Staszow (Czarna)
H_149200050,49.4869,20.0536,Nowy Targ - Kowaniec (Dunajec)
H_152190030,52.6633,19.0694,Wloclawek (Wisla)
H_149180090,49.9986,18.7686,Borki Mizerow (Pszczynka)
H_153160180,53.1514,16.7397,Pila (Gwda)
H_152210020,52.0633,21.0394,Piaseczno (Jeziorka)
H_149200190,49.5497,20.57,Golkowice (Dunajec)
H_149220030,49.5561,22.2186,Olchowce (San)
H_149200150,49.5172,20.3869,Tylmanowa (Ochotnica)
H_150190280,50.7511,19.6828,Wasosz (Pilica)
H_151150130,51.5653,15.5553,Szprotawa 2 (Szprotawa)
H_150180110,50.2047,18.4017,Ruda Kozielska (Ruda)
H_149190280,49.3956,19.8181,Koniowka (Czarny Dunajec)
H_149180120,49.7725,18.8525,Gorki Wielkie (Brennica)
H_151180170,51.4356,18.9742,Rogozno (Widawka)
H_150160160,50.9683,16.6506,Mietkow (Bystrzyca)
H_150190190,50.4831,19.2533,Piwon (Przemsza)
H_152220080,52.9489,22.955,Suraz (Narew)
H_150170060,50.4811,17.3417,Nysa (Nysa Klodzka)
H_153210120,53.1472,21.6194,Walery (Rozoga)
H_153230010,53.1786,23.0267,Fasty (Suprasl)
H_153220050,53.8203,22.3442,Elk 2 (Jez. Elckie)
H_153190090,53.4222,19.59,Nowe Miasto Lubawskie (Drweca)
H_149210100,49.5744,21.6983,Zboiska (Jasiolka)
H_149200280,49.975,20.8797,Zglobice (Dunajec)
H_154200020,54.1308,20.1728,Krosno (Drweca Warminska)
H_153230110,53.2125,23.3383,Suprasl (Suprasl)
H_154180270,54.25,18.6303,Pruszcz Gdanski (Radunia)
H_152170130,52.2036,17.8861,Lad (Warta)
H_150170150,50.8786,17.7217,Karlowice (Wapienniki) (Stobrawa)
H_149190200,49.7433,19.6011,Sucha Beskidzka (Stryszawka)
H_149220130,49.235,22.5631,Zatwarnica (San)
H_149190380,49.3161,19.9775,Zakopane Harenda (Cicha Woda)
H_154210060,54.1908,21.6503,Przystan (Jez. Mamry)
H_149190290,49.6364,19.83,Jordanow (Skawa)
H_151140060,51.1611,14.9936,Zgorzelec (Nysa Luzycka)
H_150210130,50.1433,21.465,Pustkow (Wisloka)
H_152140090,52.0933,14.7272,Biala Gora (Odra)
H_151180100,51.2856,18.785,Osjakow (Warta)
H_154180020,54.44,18.0294,Miloszewo (Leba)
H_152140050,52.3481,14.5556,Slubice (Odra)
H_153180060,53.4894,18.3808,Kraplewice (Wda)
H_150170010,50.8056,17.1706,Zborowice (Olawa)
H_151160140,51.6317,16.4622,Osetno (Barycz)
H_150160140,50.7258,16.6461,Dzierzoniow (Pilawa)
H_153220080,53.7006,22.4392,Prostki (Elk)
H_149180100,49.8033,18.7917,Skoczow (Wisla)
H_150190340,50.0403,19.8433,Krakow - Bielany (Wisla)
H_152220010,52.2531,22.0947,Zaliwie-Piegawki (Liwiec)
H_154200010,54.1858,20.0478,Bornity (Walsza)
H_150220060,50.0856,22.4872,Gorliczyna (Mleczka Zachodnia)
H_150210150,50.5047,21.5111,Kolo (Wisla)
H_152230080,52.1469,23.4992,Krzyczew (Bug)
H_150210220,50.9075,21.1469,Wlochy (Pokrzywianka)
H_151210190,51.4453,21.9456,Pulawy (Wisla)
H_152150100,52.5175,15.4211,Bledzew (Obra)
H_149220040,49.8008,22.2442,Dynow (San)
H_152150130,52.0331,15.6075,Cigacice (Odra)
H_150190180,50.1611,19.2397,Jelen (Przemsza)
H_151180050,51.7914,18.1978,Debe (Swedrnia)
H_151150030,51.5031,15.1983,Ilowa (Czerna Mala)
H_149200220,49.5686,20.6597,Stary Sacz (Poprad)
H_150180170,50.3864,18.5889,Pyskowice (Drama)
H_152150190,52.8508,15.8375,Nowe Drezdenko (Notec)
H_151210060,51.6356,21.3586,Rogozek (Radomka)
H_150220140,50.0033,22.9386,Charytany (Szklo)
H_150190260,50.0311,19.4603,Smolice (Wisla)
H_153220280,53.8042,22.9664,Bialobrzegi (Netta)
H_150180020,50.7397,18.0767,Turawa (Mala Panew)
H_149180070,49.7461,18.6314,Cieszyn (Mlynowka)
H_151210040,51.0214,21.2028,Brody Ilzeckie (Kamienna)
H_153210200,53.6506,21.8239,Maldanin (Jez. Ros)
H_151200120,51.6575,20.9511,Bialobrzegi (Pilica)
H_150170170,50.0514,17.7719,Branice 2 (Mlynowka)
H_150210110,50.0497,21.3125,Glowaczowa (Grabinianka)
H_152230190,52.7014,23.8414,Bialowieza (Narewka)
H_150220030,50.52,22.1928,Nisko (San)
H_149210050,49.7722,21.4125,Krajowice (Wisloka)
H_153140090,53.5631,14.8269,Goleniow (Ina)
H_149220010,49.5669,22.0708,Nowosielce (Pielnica)
H_152229999,52.6742,22.0161,Malkinia (Bug)
H_150190010,50.4725,19.0006,Brynica (Brynica)
H_151190020,51.3283,19.1136,Szczercow (Widawka)
H_150170090,50.8656,17.4694,Brzeg (most) (Odra)
H_151150040,51.7986,15.2369,Nowogrod Bobrzanski (Bobr)
H_153210220,53.2858,21.8647,Dobrylas (Pisa)
H_151150150,51.8022,15.7217,Nowa Sol (Odra)
H_151150120,51.5614,15.5267,Szprotawa (Bobr)
H_152210100,52.8833,21.5372,Czarnowo (Orz)
H_153180130,53.7222,18.9114,Kwidzyn (Liwa)
H_154210090,54.0356,21.7611,Gizycko (Pisa (Kanal Gizycki))
H_149220150,49.2186,22.6328,Dwernik (San)
H_149200040,49.7047,20.0325,Kasinka Mala (Raba)
H_149190140,49.7117,19.2622,Lekawica (Lekawka)
H_151150090,51.4914,15.3686,Lozy (Kwisa)
H_149200230,49.8164,20.6819,Czchow (Dunajec)
H_153210170,53.3931,21.7922,Ptaki (Pisa)
H_151150050,51.7742,15.2561,Dobroszow Wielki (Bobr)
H_149190230,49.9814,19.6631,Czernichow - Prom (Wisla)
H_149210160,49.5678,21.93,Sieniawa (Wislok)
H_150180070,50.3575,18.2356,Lenartowice (Klodnica)
H_151150100,51.2031,15.3958,Nowogrodziec (Kwisa)
H_150210020,50.3269,21.0772,Szczucin (Wisla)
H_151160100,51.2278,16.1992,Piatnica (Kaczawa)
H_152200120,52.5617,20.6656,Borkowo (Wkra)
H_150220040,50.3272,22.3475,Sarzyna (Trzebosnica)
H_149200120,49.4114,20.3022,Niedzica (Niedziczanka)
H_150220090,50.1403,22.6031,Lezachow (San)
H_153150010,53.3503,15.0408,Stargard (Ina)
H_149200030,49.4844,20.0311,Nowy Targ (Czarny Dunajec)
H_149220050,49.5133,22.2689,Zagorz (Oslawa)
H_150180210,50.8208,18.6625,Niwki (Liswarta)
H_149180300,49.9547,18.3264,Olza (Odra)
H_150160070,50.7658,16.4311,Lubachow (Bystrzyca)
H_149190020,49.5681,19.0697,Kamesznica (Bystra)
H_150170200,50.9542,17.8644,Domaradz (Bogacica)
H_152160110,52.6686,16.8367,Kowanowko (Welna)
H_150200120,50.7503,20.6167,Morawica (Czarna Nida)
H_151150170,51.0178,15.8878,Swierzawa (Kaczawa)
H_151160200,51.5392,16.8725,Korzensko (Orla)
H_152230100,52.8631,23.7253,Narewka (Narewka)
H_149220070,49.4239,22.3283,Hoczew (Hoczewka)
H_150160120,50.9156,16.5839,Kraskow (Bystrzyca)
H_153230170,53.1733,23.53,Nowosiolki (Suprasl)
H_150190130,50.3503,19.1856,Lagisza (Czarna Przemsza)
H_154200030,54.0258,20.3969,Smolajny (Lyna)
H_149180130,49.5719,18.8928,Istebna (Olza)
H_151180160,51.8917,18.9494,Poddebice (Ner)
H_150170030,50.9478,17.2928,Olawa 2 (Olawa)
H_151180060,51.5192,18.225,Kraszewice (Luzyca)
H_151180180,51.4583,18.9853,Grabno (Grabia)
H_149180080,49.8858,18.7494,Drogomysl (Wisla)
H_149210150,49.49,21.9067,Pulawy (Wislok)
H_151200100,51.1036,20.8556,Bzin (Kamienna)
H_152210120,52.51,21.6783,Lochow (Liwiec)
H_152230030,52.8622,23.1958,Chraboly (Orlanka)
H_149200010,49.3372,20.0031,Poronin (Poroniec)
H_151180040,51.3156,18.1547,Mirkow (Prosna)
H_153220060,53.8317,22.3833,Elk (Elk)
H_149210080,49.7503,21.4731,Jaslo (Jasiolka)
H_150180010,50.3911,18.0425,Kamionka (Stradunia)
H_150210100,50.4347,21.285,Polaniec (Czarna)
H_150180130,50.1542,18.4831,Rybnik Stodoly (Ruda)
H_151170090,51.0803,17.71,Namyslow (Widawa)
H_152150200,52.6042,15.8861,Miedzychod (Warta)
H_149180030,49.9244,18.4431,Laziska (Olza)
H_150160030,50.8778,16.2331,Chwaliszow (Strzegomka)
H_150170050,50.4336,17.2975,Biala Nyska (Biala Glucholaska)
H_150190330,50.1947,19.8325,Ojcow (Pradnik)
H_151200080,51.5194,20.5628,Odrzywol (Drzewiczka)
H_150160020,50.8603,16.3136,Swiebodzice (Pelcznica)
H_149190010,49.8914,19.0303,Czechowice-Bestwina (Biala)
H_154170160,54.5419,17.7475,Lebork (Leba)
H_154220110,54.3128,22.3119,Goldap 2 (Goldapa)
H_153190050,53.2553,19.4008,Brodnica (Drweca)
H_154210010,54.2661,21.0058,Sepopol (Lyna)
H_153160040,53.5608,16.2261,Czaplinek (jez. Drawsko)
H_150210010,50.6761,21.0286,Rakow (Czarna)
H_149200290,49.35,20.8853,Muszyna (Poprad)
H_153200020,53.0097,20.1283,Szrensk (Mlawka)
H_150200160,50.8008,20.8131,Daleszyce (Czarna Nida)
H_150190210,50.4531,19.2728,Kuznica Sulikowska (Mitrega)
H_150200050,50.4917,20.4564,Michalow (Mierzawa)
H_150160110,50.4197,16.6047,Szalejow Dolny (Bystrzyca Dusznicka)
H_151150020,51.0208,15.0328,Ostrozno (Witka)
H_149190160,49.9617,19.4425,Rudze (Wieprzowka)
H_150160190,50.1556,16.6642,Miedzylesie (Nysa Klodzka)
H_150220120,50.7575,22.86,Zaklodzie (Por)
H_150150020,50.9867,15.3839,Mirsk 2 (Czarny Potok)
H_150160080,50.5519,16.4361,Tlumaczow (Scinawka)
H_150200040,50.7742,20.4531,Tokarnia (Czarna Nida)
H_153220200,53.7306,22.7017,Rajgrod (Jegrznia)
H_150210040,50.9728,21.0919,Rzepin (Swislin)
H_150210170,50.6725,21.7461,Sandomierz (Wisla)
H_150190060,50.0611,19.1083,Bojszowy (Gostynia)
H_149180110,49.6806,18.8503,Ustron Oblaziec (Wisla)
H_149200020,49.4242,20.0247,Szaflary (Bialy Dunajec)
H_149190030,49.7794,19.0742,Mikuszowice (Biala)
H_150180060,50.1219,18.2297,Raciborz Miedonia (Odra)
H_149180140,49.6319,18.9008,Wisla (Wisla)
H_152180150,52.0847,18.8239,Dabie (Ner)
H_152190050,52.0625,19.2175,Kwiatkowek (Bzura)
H_150200140,50.065,20.7056,Borzecin (Uszwica)
H_152160090,52.09,16.6442,Koscian (Kanal Mosinski)
H_152200050,52.2617,20.2692,Zukow (Bzura)
H_151160020,51.1394,16.0256,Rzymowka (Kaczawa)
H_152200130,52.4881,20.8644,Orzechowo (Narew)
H_151160050,51.1569,16.0772,Dunino (Kaczawa)
H_149190210,49.7394,19.6086,Sucha Beskidzka 2 (Skawa)
H_150160090,50.9531,16.4925,Lazany (Strzegomka)
H_153210180,53.1483,21.8003,Zaruzie (Ruz)
H_151150110,51.0264,15.4131,Gryfow Slaski (Kwisa)
H_153200070,53.7564,20.4717,Olsztyn (Lyna)
H_149200060,49.6581,20.0592,Mszana Dolna (Raba)
H_154170010,54.47,17.0314,Slupsk (Slupia)
H_154150050,54.0031,15.9764,Bialogard (Parseta)
H_151160130,51.4089,16.4433,Scinawa (Odra)
H_150220050,50.4775,22.4742,Harasiuki (Tanew)
H_151230040,51.5514,23.5664,Wlodawa (Bug)
H_149200320,49.9972,20.9494,Koszyce Wielkie (Biala)
H_151160190,51.1217,16.8428,Jarnoltow (Bystrzyca)
H_149210030,49.7014,21.2167,Kleczany (Ropa)
H_151220100,51.3017,22.6881,Sobianowice (Bystrzyca)
H_149190300,49.2758,19.8681,Koscielisko-Kiry (Potok Koscieliski)
H_151190010,51.0428,19.0481,Kule (Liswarta)
H_151180150,51.4383,18.9467,Widawa (Nieciecz)
H_152140130,52.0525,14.8922,Polecko (Odra)
H_149220100,49.2997,22.4292,Terka (Solinka)
H_149190090,49.5647,19.1803,Zabnica (Zabniczanka)
H_150170160,50.0511,17.7694,Branice 1 (Opawa)
H_150190200,50.6183,19.2594,Lgota Nadwarcie (Warta)
H_150160280,50.8889,16.9906,Borow (Sleza)
H_149190180,49.8772,19.5111,Wadowice (Skawa)
H_150160180,50.4425,16.6586,Klodzko (Nysa Klodzka)
H_151180120,51.4583,18.8378,Burzenin (Warta)
H_149190260,49.6833,19.7392,Osielec (Skawa)
H_153210090,53.0839,21.5628,Ostroleka (Narew)
H_150210140,50.1064,21.4869,Brzeznica (Wielopolka)
H_151170080,51.5783,17.6703,Odolanow 2 (Kuroch)
H_153170120,53.5731,17.9036,Tuchola (Brda)
H_151160160,51.7828,16.6689,Rydzyna (Polski Row)
H_153180030,53.9764,18.2311,Bozepole (Wierzyca)
H_149220080,49.2131,22.3333,Cisna (Solinka)
H_149200250,49.6253,20.6958,Nowy Sacz (Kamienica)
H_149200240,49.6272,20.6872,Nowy Sacz (Dunajec)
H_150200030,50.7419,20.4139,Brzegi (Nida)
H_152180140,52.2,18.7428,Grzegorzew (Rgilewka)
H_150170110,50.3194,17.5886,Prudnik (Prudnik)
H_152170120,52.2233,17.7431,Samarzewo (Wrzesnica)
H_151140040,51.4722,14.9469,Przewoz (Nysa Luzycka)
H_149180240,49.9317,18.9858,Goczalkowice (Wisla)
H_153190150,53.2667,19.8186,Lidzbark (Wel)
H_150150120,50.7128,15.9575,Bukowka (Bobr)
H_151180090,51.3881,18.7622,Niechmirow (Olesnica)
H_150200060,50.1319,20.4567,Sieroslawice (Wisla)
H_149180020,49.9219,18.3278,Chalupki (Odra)
H_151190060,51.0253,19.4053,Bobry (Warta)
H_149190080,49.6247,19.1489,Ciecina (Sola)
H_151140010,51.9719,14.7069,Gubin (Nysa Luzycka)
H_150240020,50.6772,24.0625,Krylow (Bug)
H_153210210,53.2267,21.8653,Nowogrod (Narew)
H_151150160,51.1889,15.8639,Zagrodno (Skora)
H_149180200,49.6075,18.9261,Wisla Czarne (Czarna Wiselka)
H_150150080,50.9108,15.7214,Jelenia Gora (Bobr)
H_152160120,52.8158,16.8394,Ryczywol (Flinta)
H_151160080,51.2489,16.1447,Rzeszotary (Czarna Woda)
H_151170040,51.4931,17.1464,Laki (Barycz)
H_151180020,51.7267,18.1072,Piwonice (Prosna)
